Date,Close,High,Low,Open,Volume,simple_return_o2c,log_return_o2c
2014-01-02,6221.149902,6358.299805,6211.299805,6301.25,158100,-0.012711779091450048,-0.012793265046102986
2014-01-03,6211.149902,6221.700195,6171.25,6194.549805,139000,0.0026797907067599436,0.002676206469553037
2014-01-06,6191.450195,6224.700195,6170.25,6220.850098,118300,-0.004726026593929955,-0.004737229568587036
2014-01-07,6162.25,6221.5,6144.75,6203.899902,138600,-0.006713503225055706,-0.006736140160142216
2014-01-08,6174.600098,6192.100098,6160.350098,6178.049805,146900,-0.0005583812220496531,-0.0005585371749010199
2014-01-09,6168.350098,6188.049805,6148.25,6181.700195,150100,-0.0021596157333541033,-0.0021619510662989594
2014-01-10,6171.450195,6239.100098,6139.600098,6178.850098,159900,-0.0011976181461975655,-0.0011983358639013398
2014-01-13,6272.75,6288.200195,6189.549805,6189.549805,135000,0.013442043059866737,0.013352500331399064
2014-01-14,6241.850098,6280.350098,6234.149902,6260.25,110200,-0.002939164090891011,-0.002943491915873091
2014-01-15,6320.899902,6325.200195,6265.299805,6265.950195,145900,0.008769572896357714,0.008731343532849309
2014-01-16,6318.899902,6346.5,6299.850098,6341.350098,153400,-0.003540286477335508,-0.0035465681217691394
2014-01-17,6261.649902,6327.100098,6246.350098,6306.25,167700,-0.00707236440039638,-0.0070974921144921896
2014-01-20,6303.950195,6307.450195,6243.350098,6261.75,122100,0.006739361200942318,0.006716753224946073
2014-01-21,6313.799805,6330.299805,6297.899902,6320.149902,141700,-0.0010047383524860454,-0.001005243440413674
2014-01-22,6338.950195,6349.950195,6287.450195,6309.049805,137500,0.004739285775855473,0.00472809071814046
2014-01-23,6345.649902,6355.600098,6316.399902,6325.950195,120100,0.003114110353820143,0.003109271555271401
2014-01-24,6266.75,6331.450195,6263.899902,6301.649902,160300,-0.005538216584980993,-0.005553609365125845
2014-01-27,6135.850098,6188.549805,6130.25,6186.299805,190400,-0.008155069846311758,-0.008188504326161385
2014-01-28,6126.25,6163.600098,6085.950195,6131.850098,184100,-0.0009132803167882786,-0.0009136976113474125
2014-01-29,6120.25,6170.450195,6109.799805,6161.0,146700,-0.006614186008764844,-0.006636156669321532
2014-01-30,6073.700195,6082.850098,6027.25,6067.0,208100,0.001104367067743528,0.0011037577030336505
2014-01-31,6089.5,6097.850098,6067.350098,6082.75,146700,0.0011096954502487488,0.0011090801933756997
2014-02-03,6001.799805,6074.850098,5994.450195,6058.799805,134900,-0.009407803828236916,-0.009452336739342235
2014-02-04,6000.899902,6017.799805,5933.299805,5947.600098,183300,0.008961564853346982,0.008921648330130497
2014-02-05,6022.399902,6028.049805,5962.049805,6004.25,166600,0.0030228424865719195,0.0030182828845508216
2014-02-06,6036.299805,6048.350098,5965.399902,6028.350098,185500,0.001318720192219347,0.0013178514444196342
2014-02-07,6063.200195,6079.950195,6030.899902,6077.649902,181900,-0.0023775155254081026,-0.002380346303146981
2014-02-10,6053.450195,6083.049805,6046.399902,6072.799805,133100,-0.003186274967284075,-0.0031913619499253205
2014-02-11,6062.700195,6081.850098,6053.25,6072.450195,150500,-0.001605612180735183,-0.0016069025573872608
2014-02-12,6084.0,6106.600098,6077.399902,6085.350098,138500,-0.00022186036600324588,-0.00022188498065499183
2014-02-13,6001.100098,6094.399902,5991.100098,6087.549805,153700,-0.014201067715124749,-0.014302867806521014
2014-02-14,6048.350098,6056.399902,5984.600098,6023.75,140200,0.004083851089437651,0.004075534803537435
2014-02-18,6127.100098,6141.700195,6066.799805,6071.299805,126600,0.009190831418676826,0.009148852744167428
2014-02-19,6152.75,6160.350098,6125.75,6132.049805,95200,0.003375738237338055,0.0033700532235009456
2014-02-20,6091.450195,6129.100098,6086.450195,6127.149902,132100,-0.005826478472208851,-0.005843518619507829
2014-02-21,6155.450195,6159.649902,6108.0,6108.299805,112600,0.0077190693818605105,0.00768942979477388
2014-02-24,6186.100098,6191.850098,6130.799805,6140.950195,144900,0.007352266598214863,0.007325370437521837
2014-02-25,6200.049805,6216.850098,6176.600098,6205.700195,146300,-0.0009105161097781034,-0.0009109308813611043
2014-02-26,6238.799805,6245.950195,6202.100098,6202.450195,181700,0.005860524285918878,0.005843418214625052
2014-02-28,6276.950195,6282.700195,6228.100098,6228.450195,180600,0.0077868488117531776,0.007756687776312296
2014-03-03,6221.450195,6277.75,6212.25,6264.350098,144600,-0.006848260765900727,-0.00687181771468072
2014-03-04,6297.950195,6302.149902,6215.700195,6216.75,166800,0.013061518478304723,0.012976952423903163
2014-03-05,6328.649902,6336.25,6287.799805,6328.450195,160300,3.1557015358618656e-05,3.155651744648454e-05
2014-03-06,6401.149902,6406.600098,6339.700195,6344.75,180700,0.00888922368887668,0.008849947127135643
2014-03-07,6526.649902,6537.799805,6413.549805,6413.950195,284900,0.01757102933038901,0.017418443593883212
2014-03-10,6537.25,6562.200195,6487.350098,6491.700195,242100,0.007016621783470844,0.0069921198399910634
2014-03-11,6511.899902,6562.850098,6494.25,6537.350098,239000,-0.003893044676892221,-0.0039006423003224242
2014-03-12,6516.899902,6546.149902,6487.299805,6497.5,175000,0.0029857486725664018,0.0029813001775243165
2014-03-13,6493.100098,6561.450195,6476.649902,6491.75,167900,0.00020797134824968033,0.00020794972520676424
2014-03-14,6504.200195,6518.450195,6432.700195,6447.25,177300,0.008833253712823286,0.008794468758138312
2014-03-18,6516.649902,6574.950195,6497.649902,6532.450195,179300,-0.0024187391450904983,-0.002421669019972027
2014-03-19,6524.049805,6541.200195,6506.0,6530.0,172500,-0.0009112090352221269,-0.0009116244385404044
2014-03-20,6483.100098,6523.649902,6473.25,6508.350098,142000,-0.003879631491821467,-0.0038871767837013976
2014-03-21,6493.200195,6522.899902,6485.700195,6515.200195,189900,-0.003376718955909186,-0.0033824329379966325
2014-03-24,6583.5,6591.5,6510.5,6510.5,158400,0.011212656477997074,0.011150260627615365
2014-03-25,6589.75,6595.549805,6544.850098,6550.100098,168100,0.006053327644886863,0.006035079859951625
2014-03-26,6601.399902,6627.450195,6580.600098,6615.649902,186600,-0.0021539833895520832,-0.0021563065484032024
2014-03-27,6641.75,6673.950195,6599.5,6613.100098,312400,0.004332295228476113,0.004322937853708265
2014-03-28,6695.899902,6702.600098,6643.799805,6673.049805,184800,0.0034242359442424597,0.003418386597566913
2014-03-31,6704.200195,6730.049805,6662.399902,6723.149902,220600,-0.002818575708740667,-0.002822555373002716
2014-04-01,6721.049805,6732.25,6675.450195,6729.5,177800,-0.0012556943309309787,-0.0012564833756591714
2014-04-02,6752.549805,6763.5,6723.600098,6757.600098,173300,-0.0007473500838700575,-0.0007476294891617066
2014-04-03,6736.100098,6776.75,6696.899902,6772.049805,197500,-0.005308541436517045,-0.005322681807974772
2014-04-04,6694.350098,6741.850098,6685.149902,6741.850098,155100,-0.007045543776491137,-0.0070704808190912094
2014-04-07,6695.049805,6725.149902,6650.399902,6694.25,133900,0.00011947641632747974,0.00011946927958889281
2014-04-09,6796.200195,6808.700195,6705.100098,6722.0,169800,0.011038410443320545,0.010977931842176254
2014-04-10,6796.399902,6819.049805,6777.299805,6803.049805,191100,-0.0009774885074502748,-0.000977966560894595
2014-04-11,6776.299805,6789.350098,6743.149902,6758.350098,140700,0.002655930329106715,0.0026524095786842807
2014-04-15,6733.100098,6813.399902,6711.75,6792.700195,123200,-0.00877413919193304,-0.008812858603934215
2014-04-16,6675.299805,6748.649902,6665.149902,6727.25,119800,-0.007722352372812158,-0.007752324137290135
2014-04-17,6779.399902,6783.049805,6684.399902,6695.450195,131500,0.012538321480263015,0.012460367657893868
2014-04-21,6817.649902,6825.450195,6786.899902,6789.25,111800,0.004183069116618254,0.004174344405252279
2014-04-22,6815.350098,6838.0,6806.25,6822.899902,114700,-0.001106538877667984,-0.0011071515438128522
2014-04-23,6840.799805,6861.600098,6820.75,6823.25,183000,0.0025720595024365522,0.002568757418287181
2014-04-25,6782.75,6869.850098,6772.850098,6855.799805,154300,-0.0106551835056099,-0.010712356461612869
2014-04-28,6761.25,6786.25,6750.299805,6778.549805,118200,-0.002552139542773446,-0.002555401802573242
2014-04-29,6715.25,6779.700195,6708.649902,6769.0,115500,-0.007940611611759518,-0.007972306162385827
2014-04-30,6696.399902,6780.149902,6656.799805,6724.950195,161100,-0.004245428170044696,-0.004254465587759879
2014-05-02,6694.799805,6737.649902,6689.5,6709.950195,114300,-0.0022578990245397668,-0.002260451922056075
2014-05-05,6699.350098,6741.049805,6680.450195,6681.649902,105000,0.0026490756414372374,0.0026455730249938495
2014-05-06,6715.299805,6743.450195,6701.899902,6719.25,88300,-0.0005878922498790962,-0.0005880651262862839
2014-05-07,6652.549805,6718.75,6642.899902,6708.600098,114100,-0.008354990934205553,-0.008390089506522296
2014-05-08,6659.850098,6688.399902,6638.549805,6669.899902,101600,-0.0015067398533202825,-0.0015078761273360657
2014-05-09,6858.799805,6871.350098,6652.149902,6654.149902,166400,0.030755228844256965,0.030291765446002032
2014-05-12,7014.25,7020.049805,6862.899902,6863.399902,157700,0.021978917177191137,0.02174086258359638
2014-05-13,7108.75,7172.350098,7067.149902,7080.0,232200,0.004060734463276816,0.004052511933243966
2014-05-14,7108.75,7142.25,7080.899902,7112.0,177200,-0.00045697412823397787,-0.0004570785727310828
2014-05-15,7123.149902,7152.549805,7082.549805,7111.299805,186800,0.0016663756732164803,0.0016649888097509398
2014-05-16,7203.0,7563.5,7130.649902,7270.200195,393200,-0.009243238590075809,-0.009286222397989279
2014-05-19,7263.549805,7291.100098,7193.549805,7276.850098,316200,-0.0018277541547345733,-0.0018294265354708934
2014-05-20,7275.5,7353.649902,7247.700195,7309.950195,255300,-0.0047127810834558526,-0.004723921250786624
2014-05-21,7252.899902,7287.149902,7206.700195,7274.850098,203100,-0.003017271243298092,-0.0030218323832842107
2014-05-22,7276.399902,7319.549805,7258.149902,7289.950195,240900,-0.0018587634534587005,-0.001860493097912248
2014-05-23,7367.100098,7381.0,7293.899902,7306.5,259600,0.008293998220762377,0.008259792024788135
2014-05-26,7359.049805,7504.0,7269.049805,7428.75,273200,-0.009382493016994786,-0.009426785873925815
2014-05-27,7318.0,7372.950195,7274.75,7363.100098,168600,-0.006125150738104157,-0.006143986427565941
2014-05-28,7329.649902,7344.75,7302.600098,7324.950195,175600,0.0006416025877156173,0.0006413968487723909
2014-05-29,7235.649902,7325.399902,7224.399902,7316.600098,241100,-0.011063908771251185,-0.011125569034065318
2014-05-30,7229.950195,7272.5,7118.450195,7254.850098,312200,-0.003432173327311605,-0.0034380767457600045
2014-06-02,7362.5,7368.600098,7239.5,7264.049805,169900,0.01355307268574002,0.013462051287019876
2014-06-03,7415.850098,7424.950195,7342.149902,7375.350098,234700,0.005491264748365365,0.005476242722286766
2014-06-04,7402.25,7433.299805,7391.350098,7417.549805,204600,-0.002062649446544551,-0.0020647796376432616
2014-06-05,7474.100098,7484.700195,7360.5,7399.75,250700,0.0100476499881752,0.009997507946425578
2014-06-06,7583.399902,7592.700195,7497.649902,7521.5,248400,0.008229728378647883,0.008196048820293697
2014-06-09,7654.600098,7673.700195,7580.25,7621.649902,231900,0.004323236625097815,0.004313918284912415
2014-06-10,7656.399902,7683.200195,7579.299805,7679.049805,188700,-0.0029495710504771067,-0.0029539296078610828
2014-06-11,7626.850098,7700.049805,7589.049805,7672.399902,186200,-0.0059368391353175065,-0.005954532226891028
2014-06-12,7649.899902,7658.0,7593.799805,7641.299805,148200,0.0011254756676832844,0.0011248427947548889
2014-06-13,7542.100098,7678.5,7525.350098,7668.200195,174500,-0.01644454941098472,-0.016581261868938175
2014-06-16,7533.549805,7548.600098,7487.549805,7534.799805,155400,-0.00016589690932078405,-0.00016591067173516087
2014-06-17,7631.700195,7637.600098,7509.25,7525.049805,158000,0.014172715498725008,0.01407322153092911
2014-06-18,7558.200195,7663.0,7515.5,7636.049805,165100,-0.010195010769707635,-0.010247335832185334
2014-06-19,7540.700195,7606.450195,7502.549805,7580.049805,148900,-0.005191207315556556,-0.005204728446548526
2014-06-20,7511.450195,7560.549805,7497.299805,7543.299805,124100,-0.004222238386824784,-0.0042311772054107275
2014-06-23,7493.350098,7534.799805,7441.600098,7514.0,127400,-0.002748190311418708,-0.002751973519319173
2014-06-24,7580.200195,7593.350098,7515.200195,7515.200195,137000,0.008649137523075723,0.008611948017378926
2014-06-25,7569.25,7589.25,7557.049805,7588.549805,115000,-0.002543279743289495,-0.0025465193732383622
2014-06-26,7493.200195,7570.200195,7481.299805,7554.100098,171700,-0.008061834263504597,-0.008094506566961838
2014-06-27,7508.799805,7538.75,7482.299805,7514.200195,126700,-0.0007186912591966577,-0.0007189496415651976
2014-06-30,7611.350098,7623.649902,7531.600098,7534.049805,152300,0.010260125032449219,0.010207847230057965
2014-07-01,7634.700195,7649.5,7618.149902,7629.0,139400,0.0007471745969327426,0.0007468956009574124
2014-07-02,7725.149902,7732.399902,7677.299805,7683.049805,136300,0.005479607456482016,0.005464649026878639
2014-07-03,7714.799805,7754.649902,7706.799805,7734.350098,133800,-0.0025277227888941267,-0.002530922873898857
2014-07-04,7751.600098,7758.0,7661.299805,7718.100098,113100,0.004340446427830269,0.004331053859053645
2014-07-07,7787.149902,7792.0,7755.100098,7780.399902,173900,0.0008675646605600384,0.0008671885438612296
2014-07-08,7623.200195,7808.850098,7595.899902,7804.049805,180600,-0.023173815457216862,-0.023446550092447963
2014-07-09,7585.0,7650.100098,7551.649902,7637.950195,168300,-0.006932513782907712,-0.006956655295525685
2014-07-10,7567.75,7731.049805,7479.049805,7589.5,258400,-0.002865801436194748,-0.0028699157074670266
2014-07-11,7459.600098,7625.850098,7447.200195,7584.100098,187600,-0.0164159225737055,-0.016552156828981885
2014-07-14,7454.149902,7478.450195,7422.149902,7469.0,135200,-0.001988231088499104,-0.0019902102437101337
2014-07-15,7526.649902,7534.899902,7459.149902,7491.299805,122100,0.004718820220812159,0.004707721490254646
2014-07-16,7624.399902,7640.100098,7532.450195,7564.149902,168000,0.007965204389203118,0.007933649598211133
2014-07-17,7640.450195,7655.649902,7612.700195,7612.700195,141600,0.003645224334228425,0.00363859660549392
2014-07-18,7663.899902,7685.0,7595.5,7630.25,134600,0.004410065463123836,0.004400369620179107
2014-07-21,7684.200195,7722.100098,7674.0,7701.649902,105400,-0.002265710233786189,-0.0022682808387826303
2014-07-22,7767.850098,7773.850098,7704.799805,7708.200195,120100,0.007738499453957104,0.0077087108477691246
2014-07-23,7795.75,7809.200195,7752.899902,7794.899902,122100,0.00010905823175244578,0.00010905228533582249
2014-07-24,7830.600098,7835.649902,7771.649902,7796.25,117600,0.004405976976110226,0.004396299076209685
2014-07-25,7790.450195,7840.950195,7748.600098,7828.200195,153900,-0.004822308967533995,-0.004833973815532912
2014-07-28,7748.700195,7799.899902,7722.649902,7792.899902,116500,-0.005671791958813177,-0.00568793764976814
2014-07-30,7791.399902,7798.700195,7707.600098,7746.200195,178100,0.005835081183310331,0.005818123033245989
2014-07-31,7721.299805,7791.850098,7711.149902,7784.649902,208900,-0.008137822226754854,-0.008171115045769723
2014-08-01,7602.600098,7716.700195,7593.899902,7662.5,181100,-0.007817279216965733,-0.00784799432122233
2014-08-04,7683.649902,7694.799805,7622.049805,7639.549805,137000,0.005772604161980555,0.005756006526329641
2014-08-05,7746.549805,7752.450195,7638.049805,7706.649902,128200,0.005177334316126769,0.005163978001053654
2014-08-06,7672.049805,7740.950195,7658.950195,7726.149902,116400,-0.0070022064917477644,-0.007026836985503464
2014-08-07,7649.25,7708.950195,7630.399902,7651.149902,116800,-0.0002483158772648153,-0.00024834671275700005
2014-08-08,7568.549805,7592.450195,7540.100098,7588.700195,118400,-0.002655315071384279,-0.0026588466735113186
2014-08-11,7625.950195,7635.549805,7598.600098,7619.850098,107000,0.0008005534126716007,0.0008002331407068086
2014-08-12,7727.049805,7735.75,7654.799805,7688.799805,120600,0.004974768620601422,0.004962435345734104
2014-08-13,7739.549805,7757.100098,7695.700195,7717.299805,154100,0.0028831327747023128,0.0028789845188063154
2014-08-14,7791.700195,7796.700195,7739.100098,7756.149902,127300,0.004583497411625892,0.004573025174818833
2014-08-18,7874.25,7880.5,7779.200195,7785.25,126700,0.011431874377829887,0.011367024272780848
2014-08-19,7897.5,7918.549805,7881.149902,7901.0,140600,-0.00044298190102520785,-0.00044308004649304
2014-08-20,7875.299805,7922.700195,7864.049805,7915.799805,117300,-0.005116349705359902,-0.005129483038147725
2014-08-21,7891.100098,7919.649902,7855.950195,7875.350098,115200,0.001999911090174944,0.001997913930308784
2014-08-22,7913.200195,7929.049805,7900.049805,7904.549805,104100,0.001094355809426295,0.0010937574386214047
2014-08-25,7906.299805,7968.25,7897.950195,7931.75,118500,-0.003208648154568672,-0.0032138069040890315
2014-08-26,7904.75,7915.450195,7862.450195,7874.5,142800,0.003841513746904557,0.0038341539753914754
2014-08-27,7936.049805,7946.850098,7916.549805,7933.899902,120000,0.0002709768243305266,0.0002709401167419853
2014-08-28,7954.350098,7967.799805,7939.200195,7942.25,189700,0.0015235100884509745,0.0015223507243420683
2014-09-01,8027.700195,8035.0,7984.0,7990.350098,139300,0.0046744005634182795,0.004663509479442966
2014-09-02,8083.049805,8101.950195,8036.549805,8038.600098,134900,0.005529533309047041,0.005514301563571015
2014-09-03,8114.600098,8141.899902,8092.25,8110.850098,150700,0.0004623436452024787,0.0004622367973117095
2014-09-04,8095.950195,8114.799805,8060.899902,8114.200195,141300,-0.0022491434228164575,-0.0022516765448338935
2014-09-05,8086.850098,8122.700195,8049.850098,8099.899902,126000,-0.0016111068232803616,-0.0016124060515295513
2014-09-08,8173.899902,8180.200195,8126.149902,8132.950195,120700,0.005035037227348882,0.005022403816126811
2014-09-09,8152.950195,8174.549805,8126.5,8161.899902,104700,-0.0010965225140542323,-0.0010971241347000787
2014-09-10,8094.100098,8135.75,8082.100098,8135.549805,107100,-0.0050948870074553065,-0.005107910197551349
2014-09-11,8085.700195,8127.950195,8057.299805,8115.149902,122800,-0.0036289788057694006,-0.0036355795234374816
2014-09-12,8105.5,8114.299805,8071.600098,8087.049805,111400,0.002281449409226255,0.002278850855085528
2014-09-15,8042.0,8077.299805,8030.0,8070.350098,96500,-0.003512870898503606,-0.003519055517571897
2014-09-16,7932.899902,8044.899902,7925.149902,8036.600098,128000,-0.012903490871196466,-0.01298746405649069
2014-09-17,7975.5,7990.649902,7936.950195,7971.5,123700,0.0005017876183905923,0.0005016617650829349
2014-09-18,8114.75,8120.850098,7939.700195,7950.649902,116900,0.020639834481797514,0.02042971934050179
2014-09-19,8121.450195,8160.899902,8105.350098,8129.399902,161300,-0.00097789592046571,-0.0009783743726243831
2014-09-22,8146.299805,8159.899902,8064.799805,8084.450195,105500,0.007650441094714244,0.007621324877222989
2014-09-23,8017.549805,8159.75,8008.100098,8144.399902,140800,-0.015575131197677283,-0.015697697880718852
2014-09-24,8002.399902,8042.049805,7950.049805,8015.549805,182200,-0.0016405490976797443,-0.0016418962719559978
2014-09-25,7911.850098,8019.299805,7877.350098,8003.299805,231900,-0.011426500222179281,-0.011492284276955218
2014-09-26,7968.850098,7993.299805,7841.799805,7885.850098,147800,0.010525181048147259,0.010470176945560652
2014-09-29,7958.899902,7991.75,7934.700195,7978.450195,97300,-0.0024503872960506268,-0.002453394408398632
2014-09-30,7964.799805,8030.899902,7923.850098,7948.799805,141100,0.002012882497045121,0.0020108593635034884
2014-10-01,7945.549805,7977.5,7936.700195,7960.5,113000,-0.001878047233214053,-0.0018798129750298392
2014-10-07,7852.399902,7943.049805,7842.700195,7897.399902,148200,-0.005698077919114142,-0.005714373898424276
2014-10-08,7842.700195,7869.899902,7815.75,7828.75,135900,0.0017819185693757067,0.001780332835967507
2014-10-09,7960.549805,7972.350098,7886.5,7886.5,123800,0.009389438280606122,0.009345631505509183
2014-10-10,7859.950195,7924.049805,7848.450195,7911.0,142900,-0.006453015421564845,-0.0064739261322147865
2014-10-13,7884.25,7901.149902,7796.0,7831.0,118800,0.006799897841910374,0.006776882810912102
2014-10-14,7864.0,7928.0,7825.450195,7923.25,225500,-0.0074779919856119426,-0.007506092344836644
2014-10-16,7748.200195,7893.899902,7729.649902,7837.299805,213500,-0.011368661684111658,-0.01143377891932127
2014-10-17,7779.700195,7819.200195,7723.850098,7733.75,177600,0.0059415154355908495,0.005923934237689565
