Date,Close,High,Low,Open,Volume,simple_return_o2c,log_return_o2c,squared_return,abs_return
2014-01-02,6221.149902,6358.299805,6211.299805,6301.25,158100,-0.01271177909145,-0.0127932650461029,0.00016366763053983827,0.0127932650461029
2014-01-03,6211.149902,6221.700195,6171.25,6194.549805,139000,0.0026797907067599,0.002676206469553,7.162081067677334e-06,0.002676206469553
2014-01-06,6191.450195,6224.700195,6170.25,6220.850098,118300,-0.0047260265939299,-0.004737229568587,2.2441343985494976e-05,0.004737229568587
2014-01-07,6162.25,6221.5,6144.75,6203.899902,138600,-0.0067135032250557,-0.0067361401601422,4.537558425708058e-05,0.0067361401601422
2014-01-08,6174.600098,6192.100098,6160.350098,6178.049805,146900,-0.0005583812220496,-0.000558537174901,3.119637757463903e-07,0.000558537174901
2014-01-09,6168.350098,6188.049805,6148.25,6181.700195,150100,-0.0021596157333541,-0.0021619510662989,4.674032413070951e-06,0.0021619510662989
2014-01-10,6171.450195,6239.100098,6139.600098,6178.850098,159900,-0.0011976181461975,-0.0011983358639013,1.4360088427120748e-06,0.0011983358639013
2014-01-13,6272.75,6288.200195,6189.549805,6189.549805,135000,0.0134420430598667,0.013352500331399,0.0001782892651000104,0.013352500331399
2014-01-14,6241.850098,6280.350098,6234.149902,6260.25,110200,-0.002939164090891,-0.002943491915873,8.664144658809705e-06,0.002943491915873
2014-01-15,6320.899902,6325.200195,6265.299805,6265.950195,145900,0.0087695728963577,0.0087313435328493,7.62363598886293e-05,0.0087313435328493
2014-01-16,6318.899902,6346.5,6299.850098,6341.350098,153400,-0.0035402864773355,-0.0035465681217691,1.2578145442348802e-05,0.0035465681217691
2014-01-17,6261.649902,6327.100098,6246.350098,6306.25,167700,-0.0070723644003963,-0.0070974921144921,5.037439431527754e-05,0.0070974921144921
2014-01-20,6303.950195,6307.450195,6243.350098,6261.75,122100,0.0067393612009423,0.006716753224946,4.511477388482249e-05,0.006716753224946
2014-01-21,6313.799805,6330.299805,6297.899902,6320.149902,141700,-0.001004738352486,-0.0010052434404136,1.0105143744945708e-06,0.0010052434404136
2014-01-22,6338.950195,6349.950195,6287.450195,6309.049805,137500,0.0047392857758554,0.0047280907181404,2.2354841838965406e-05,0.0047280907181404
2014-01-23,6345.649902,6355.600098,6316.399902,6325.950195,120100,0.0031141103538201,0.0031092715552714,9.66756960441983e-06,0.0031092715552714
2014-01-24,6266.75,6331.450195,6263.899902,6301.649902,160300,-0.0055382165849809,-0.0055536093651258,3.0842576980413e-05,0.0055536093651258
2014-01-27,6135.850098,6188.549805,6130.25,6186.299805,190400,-0.0081550698463117,-0.0081885043261613,6.705160309956233e-05,0.0081885043261613
2014-01-28,6126.25,6163.600098,6085.950195,6131.850098,184100,-0.0009132803167882,-0.0009136976113474,8.348433249819444e-07,0.0009136976113474
2014-01-29,6120.25,6170.450195,6109.799805,6161.0,146700,-0.0066141860087648,-0.0066361566693215,4.403857533978023e-05,0.0066361566693215
2014-01-30,6073.700195,6082.850098,6027.25,6067.0,208100,0.0011043670677435,0.0011037577030336,1.2182810670060087e-06,0.0011037577030336
2014-01-31,6089.5,6097.850098,6067.350098,6082.75,146700,0.0011096954502487,0.0011090801933756,1.2300588753380581e-06,0.0011090801933756
2014-02-03,6001.799805,6074.850098,5994.450195,6058.799805,134900,-0.0094078038282369,-0.0094523367393422,8.934666983391835e-05,0.0094523367393422
2014-02-04,6000.899902,6017.799805,5933.299805,5947.600098,183300,0.0089615648533469,0.0089216483301304,7.959580892651854e-05,0.0089216483301304
2014-02-05,6022.399902,6028.049805,5962.049805,6004.25,166600,0.0030228424865719,0.0030182828845508,9.110031571172298e-06,0.0030182828845508
2014-02-06,6036.299805,6048.350098,5965.399902,6028.350098,185500,0.0013187201922193,0.0013178514444196,1.736732429558826e-06,0.0013178514444196
2014-02-07,6063.200195,6079.950195,6030.899902,6077.649902,181900,-0.0023775155254081,-0.0023803463031469,5.666048522905114e-06,0.0023803463031469
2014-02-10,6053.450195,6083.049805,6046.399902,6072.799805,133100,-0.003186274967284,-0.0031913619499253,1.0184791095431014e-05,0.0031913619499253
2014-02-11,6062.700195,6081.850098,6053.25,6072.450195,150500,-0.0016056121807351,-0.0016069025573872,2.5821358289375238e-06,0.0016069025573872
2014-02-12,6084.0,6106.600098,6077.399902,6085.350098,138500,-0.0002218603660032,-0.0002218849806549,4.9232944640225344e-08,0.0002218849806549
2014-02-13,6001.100098,6094.399902,5991.100098,6087.549805,153700,-0.0142010677151247,-0.014302867806521,0.00020457202749081483,0.014302867806521
2014-02-14,6048.350098,6056.399902,5984.600098,6023.75,140200,0.0040838510894376,0.0040755348035374,1.6609983934844635e-05,0.0040755348035374
2014-02-18,6127.100098,6141.700195,6066.799805,6071.299805,126600,0.0091908314186768,0.0091488527441674,8.370150653445937e-05,0.0091488527441674
2014-02-19,6152.75,6160.350098,6125.75,6132.049805,95200,0.003375738237338,0.0033700532235009,1.1357258729228808e-05,0.0033700532235009
2014-02-20,6091.450195,6129.100098,6086.450195,6127.149902,132100,-0.0058264784722088,-0.0058435186195078,3.414670985653434e-05,0.0058435186195078
2014-02-21,6155.450195,6159.649902,6108.0,6108.299805,112600,0.0077190693818605,0.0076894297947738,5.9127330568755046e-05,0.0076894297947738
2014-02-24,6186.100098,6191.850098,6130.799805,6140.950195,144900,0.0073522665982148,0.0073253704375218,5.366105204691833e-05,0.0073253704375218
2014-02-25,6200.049805,6216.850098,6176.600098,6205.700195,146300,-0.0009105161097781,-0.0009109308813611,8.297950706173104e-07,0.0009109308813611
