lag,acf_return,acf_return_ci_low,acf_return_ci_high,pacf_return,pacf_return_ci_low,pacf_return_ci_high,acf_squared_return,acf_squared_return_ci_low,acf_squared_return_ci_high,pacf_squared_return,pacf_squared_return_ci_low,pacf_squared_return_ci_high,acf_abs_return,acf_abs_return_ci_low,acf_abs_return_ci_high,pacf_abs_return,pacf_abs_return_ci_low,pacf_abs_return_ci_high
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,-0.05734169137496593,-0.09527253136016556,-0.019410851389766302,-0.05734169137496594,-0.09527253136016556,-0.019410851389766316,0.29056026562825554,0.2526294256430559,0.3284911056134552,0.29056026562825565,0.252629425643056,0.3284911056134553,0.2543033701844254,0.21637253019922575,0.29223421016962503,0.2543033701844253,0.21637253019922564,0.2922342101696249
2,-0.07441177331517085,-0.11246712816974708,-0.036356418460594626,-0.07795616818930964,-0.11588700817450927,-0.04002532820411002,0.2967865284363229,0.2557782110133363,0.3377948458593095,0.23194312058137698,0.19401228059617737,0.2698739605665766,0.23488434506793668,0.1945750786889723,0.2751936114469011,0.1819830200262762,0.14405218004107656,0.21991386001147584
3,-0.015701155241495502,-0.053965277571035516,0.022562967088044516,-0.025004494950384617,-0.06293533493558424,0.012926345034815007,0.42343137039505035,0.3794411611358688,0.4674215796542319,0.3345245955234639,0.2965937555382643,0.37245543550866356,0.25893913675424046,0.21670656205974415,0.3011717114487368,0.1811222165006006,0.14319137651540098,0.2190530564858002
4,0.06263805703816996,0.02436466632961736,0.10091144774672256,0.054833666116809544,0.01690282613160992,0.09276450610200918,0.1744251765196475,0.12491702706459354,0.22393332597470147,-0.04041859420075817,-0.0783494341859578,-0.002487754215558545,0.19868662244135107,0.15422849552075168,0.24314474936195046,0.0839168035940753,0.04598596360887568,0.12184764357927493
5,-0.032501049351913294,-0.07092164763104584,0.005919548927219256,-0.02859920829433032,-0.06653004827952995,0.009331631690869303,0.3529421588124372,0.30255761507325335,0.403326702551621,0.21691309138285222,0.17898225139765261,0.25484393136805183,0.22448975412931238,0.17877194352453785,0.2702075647340869,0.11290825820531984,0.07497741822012022,0.15083909819051947
6,-0.07765524044591185,-0.11611537467424705,-0.039195106217576645,-0.0739675469644886,-0.11189838694968822,-0.03603670697928897,0.21146809290844468,0.15764387153573553,0.26529231428115385,-0.0455487470969291,-0.08347958708212871,-0.007617907111729473,0.19025417834143224,0.14297700044723416,0.23753135623563032,0.058949766170334664,0.02101892618513504,0.09688060615553429
7,-0.0001762562156857542,-0.03886132053181061,0.0385088081004391,-0.011995886707640298,-0.04992672669283992,0.025934953277559326,0.16549427313465834,0.11048768354138339,0.2205008627279333,0.025178680107831506,-0.012752159877368118,0.06310952009303113,0.16346653609149653,0.11510035661561226,0.2118327155673808,0.033298902193339364,-0.0046319377918602606,0.07122974217853899
8,-0.002242901976812238,-0.04092796744833207,0.03644216349470759,-0.018766552766359374,-0.056697392751558995,0.01916428721884025,0.292392876496139,0.236674523926255,0.348111229066023,0.08176573271261937,0.04383489272741975,0.119696572697819,0.17032669779386597,0.1211720661867407,0.21948132940099124,0.04382780883557563,0.005896968850376008,0.08175864882077526
9,0.006125913799001831,-0.03255933876706147,0.04481116636506514,0.0045450876433007934,-0.03338575234189883,0.042475927628500415,0.16479513871753715,0.10691126881526619,0.2226790086198081,0.03245450427003038,-0.005476335715169242,0.07038534425523,0.214867087487116,0.16487051350066417,0.2648636614735678,0.10256069726694743,0.0646298572817478,0.14049153725214705
10,-0.003292967738995266,-0.041979615945073635,0.0353936804670831,0.003046987820457193,-0.03488385216474243,0.04097782780565682,0.1287986167671778,0.07024361828602985,0.18735361524832575,-0.07188767716320886,-0.10981851714840848,-0.033956837178009236,0.15789500390347116,0.10658705797400836,0.20920294983293397,0.021061143686935877,-0.016869696298263747,0.0589919836721355
11,0.019137068003010196,-0.019549983473615626,0.05782411947963602,0.015519937680843521,-0.022410902304356103,0.05345077766604314,0.11625575950572205,0.05729456133523342,0.17521695767621068,-0.06736659809599164,-0.10529743808119127,-0.02943575811079202,0.15018031701660103,0.09817797364044237,0.2021826603927597,0.01845066999709668,-0.019480169988102945,0.0563815099822963
12,0.02905629996910489,-0.009644368890851223,0.067756968829061,0.026923255874640478,-0.011007584110559146,0.0648540958598401,0.08647386838076145,0.027183789778964663,0.14576394698255823,-0.007757983901659799,-0.04568882388685942,0.030172856083539826,0.12996870137293298,0.07734605266844236,0.1825913500774236,-0.0038978631626986598,-0.041828703147898286,0.03403297682250096
