lag,lb_stat,lb_pvalue,series
5,37.581896064550136,4.5779157295746e-07,log_return
10,53.87450484853552,5.1205164068271266e-08,log_return
20,71.01884811237767,1.2407243711786148e-07,log_return
5,1355.699711941658,5.464780740369701e-291,squared_return
10,1895.2595648385657,0.0,squared_return
20,2069.3357245307584,0.0,squared_return
5,740.2967016251365,9.490739227775821e-158,abs_return
10,1177.213232510202,1.1842413269411125e-246,abs_return
20,1547.6557255097393,0.0,abs_return
